,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-05-12 15:58:42,2022-05-11,CMS,Cms Energy Corp,Venkat Dhenuvakonda Rao,SVP,S - Sale,$69.20,-1000,35241,-3%,"-$69,198",,,,,CMS+PR+B
1,,2022-05-11 11:38:01,2022-05-10,B,Barnes Group Inc,Mangum Mylle H,Dir,S - Sale,$32.25,-5000,22610,-18%,"-$161,230",,,,,CMS+PR+B
2,,2022-03-16 15:20:12,2022-03-14,CMS,Cms Energy Corp,Hendrian Catherine A,SVP,S - Sale,$66.09,-6521,47118,-12%,"-$430,984",,,,,CMS+PR+B
3,,2022-03-14 16:02:41,2022-03-10,B,Barnes Group Inc,Mangum Mylle H,Dir,P - Purchase,$42.48,50,27610,0%,"+$2,143",,,,,CMS+PR+B
4,D,2022-02-28 14:51:16,2022-02-25,B,Barnes Group Inc,Pelletier James C,"SVP, Gen. Counsel, Secretary",S - Sale+OE,$46.50,-1619,12798,-11%,"-$75,284",,,,,CMS+PR+B
5,,2021-12-14 09:55:53,2021-12-10,B,Barnes Group Inc,Mangum Mylle H,Dir,P - Purchase,$46.71,46,25246,0%,"+$2,136",,,,,CMS+PR+B
6,,2021-11-18 16:23:50,2021-11-17,CMS,Cms Energy Corp,Rich Brian F,SVP,S - Sale,$60.32,-3500,72116,-5%,"-$211,120",,,,,CMS+PR+B
7,D,2021-11-16 09:20:20,2021-11-15,B,Barnes Group Inc,Beck Michael Andrew,"SVP, BGI; Pres, Barnes Aero",S - Sale+OE,$44.11,-25105,36067,-41%,"-$1,107,484",,,,,CMS+PR+B
8,,2021-09-14 08:26:06,2021-09-10,B,Barnes Group Inc,Mangum Mylle H,Dir,P - Purchase,$45.73,47,25200,0%,"+$2,129",,,,,CMS+PR+B
9,,2021-09-02 13:31:11,2021-09-01,CMS,Cms Energy Corp,Brossoit Jean-Francois,SVP,S - Sale,$64.82,-770,54688,-1%,"-$49,911",,,,,CMS+PR+B
10,,2021-08-25 10:13:25,2021-08-23,CMS,Cms Energy Corp,Barfield Jon E,Dir,S - Sale,$64.08,-4120,12977,-24%,"-$264,010",,,,,CMS+PR+B
11,D,2021-08-16 15:56:14,2021-08-12,B,Barnes Group Inc,Edwards Dawn N,"SVP, HR",S - Sale+OE,$50.00,-6300,90818,-6%,"-$315,000",,,,,CMS+PR+B
12,,2021-08-12 12:05:11,2021-08-11,CMS,Cms Energy Corp,Rich Brian F,SVP,S - Sale,$63.14,-3500,75084,-4%,"-$220,990",,,,,CMS+PR+B
