,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-05-19 10:47:55,2022-05-18,FRPH,"Frp Holdings, Inc.",Milton John D Jr,EVP,P - Purchase,$56.77,1000,3996,+33%,"+$56,770",,,,,JXN+WI
1,D,2022-05-17 19:05:09,2022-05-13,JXN,Jackson Financial Inc.,Prieskorn Laura Louene,"CEO, Pres, Dir",P - Purchase,$30.71,4900,261514,+2%,"+$150,479",,,,,JXN+WI
2,D,2022-05-17 18:47:02,2022-05-13,JXN,Jackson Financial Inc.,Ganguly Devkumar Dilip,"EVP, COO",P - Purchase,$30.60,10000,86530,+13%,"+$306,000",,,,,JXN+WI
3,DM,2022-05-17 18:43:27,2022-05-13,JXN,Jackson Financial Inc.,Myers Paul Chadwick,"Vice Chair, JHLLC",P - Purchase,$32.46,13000,383491,+4%,"+$421,980",,,,,JXN+WI
4,,2022-05-17 18:40:17,2022-05-13,JXN,Jackson Financial Inc.,Chelko Carrie,"EVP, GC, Secretary",P - Purchase,$29.91,3344,49599,+7%,"+$100,004",,,,,JXN+WI
5,,2022-05-17 13:29:37,2022-05-16,FRPH,"Frp Holdings, Inc.",Devilliers David H III,VP,S - Sale,$56.69,-350,16739,-2%,"-$19,842",,,,,JXN+WI
6,M,2022-05-09 17:41:49,2022-05-05,JXN,Jackson Financial Inc.,Hagan Dan,10%,S - Sale,$41.45,-500000,4500000,-10%,"-$20,724,448",,,,,JXN+WI
7,,2022-03-16 16:50:47,2022-03-15,FRPH,"Frp Holdings, Inc.",Devilliers David H Jr,Pres,S - Sale,$56.93,-1500,26763,-5%,"-$85,398",,,,,JXN+WI
8,M,2022-03-16 16:42:00,2022-03-14,FRPH,"Frp Holdings, Inc.",Baker John D. III,CFO,P - Purchase,$56.49,1346,120731,+1%,"+$76,037",,,,,JXN+WI
9,,2022-03-16 16:28:47,2022-03-14,FRPH,"Frp Holdings, Inc.",Milton John D Jr,EVP,S - Sale,$56.91,-1849,2996,-38%,"-$105,219",,,,,JXN+WI
10,M,2022-03-14 14:01:22,2022-03-10,FRPH,"Frp Holdings, Inc.",Milton John D Jr,EVP,S - Sale,$57.36,-1151,4845,-19%,"-$66,023",,,,,JXN+WI
11,M,2022-02-01 19:45:42,2022-01-31,JXN,Jackson Financial Inc.,Hagan Dan,10%,S - Sale,$38.35,-600000,5200000,-10%,"-$23,011,871",,,,,JXN+WI
12,D,2021-12-15 17:32:59,2021-12-14,JXN,Jackson Financial Inc.,Kirkland Derek G,Dir,P - Purchase,$38.14,6500,19161,+51%,"+$247,905",,,,,JXN+WI
13,D,2021-12-13 17:24:55,2021-11-12,JXN,Jackson Financial Inc.,Myers Paul Chadwick,"Vice Chair, JHLLC",P - Purchase,$32.95,38925,44280,+727%,"+$1,282,635",,,,,JXN+WI
14,,2021-12-13 14:52:00,2021-12-09,FRPH,"Frp Holdings, Inc.",Milton John D Jr,EVP,S - Sale,$56.00,-1098,5418,-17%,"-$61,488",,,,,JXN+WI
15,D,2021-11-16 18:35:09,2021-11-12,JXN,Jackson Financial Inc.,Myers Paul Chadwick,"Vice Chair, JHLLC",P - Purchase,$32.95,38925,44280,+727%,"+$1,282,635",,,,,JXN+WI
16,,2021-11-15 15:12:20,2021-11-11,FRPH,"Frp Holdings, Inc.",Devilliers David H III,VP,S - Sale,$59.00,-250,12184,-2%,"-$14,750",,,,,JXN+WI
17,,2021-11-05 16:16:03,2021-10-12,FRPH,"Frp Holdings, Inc.",Baker John D II,"CEO, 10%",P - Purchase,$55.73,543,1388688,0%,"+$30,261",,,,,JXN+WI
18,,2021-08-12 14:28:58,2021-08-09,FRPH,"Frp Holdings, Inc.",Devilliers David H III,VP,S - Sale,$59.42,-205,12434,-2%,"-$12,181",,,,,JXN+WI
19,,2021-05-20 16:22:29,2021-05-18,FRPH,"Frp Holdings, Inc.",Devilliers David H Jr,Pres,S - Sale,$56.40,-8500,23358,-27%,"-$479,360",,,,,JXN+WI
20,D,2021-05-18 13:58:20,2021-05-17,FRPH,"Frp Holdings, Inc.",Devilliers David H Jr,Pres,S - Sale+OE,$58.08,-1500,31858,-4%,"-$87,115",,,,,JXN+WI
21,,2021-03-16 12:13:45,2020-08-25,FRPH,"Frp Holdings, Inc.",Baker John D. III,CFO,P - Purchase,$40.66,2480,115200,+2%,"+$100,837",,,,,JXN+WI
22,,2020-12-11 16:47:31,2020-12-09,FRPH,"Frp Holdings, Inc.",Milton John D Jr,EVP,S - Sale,$45.04,-2160,4320,-33%,"-$97,280",,,,,JXN+WI
23,M,2020-11-20 13:54:50,2020-11-18,FRPH,"Frp Holdings, Inc.",Devilliers David H Jr,Pres,S - Sale,$44.37,-2915,12670,-19%,"-$129,327",,,,,JXN+WI
24,,2020-11-18 12:52:16,2020-11-16,FRPH,"Frp Holdings, Inc.",Devilliers David H Jr,Pres,S - Sale,$44.09,-1500,15585,-9%,"-$66,129",,,,,JXN+WI
25,M,2020-11-12 13:14:10,2020-11-09,FRPH,"Frp Holdings, Inc.",Devilliers David H Jr,Pres,S - Sale,$46.48,-3160,17085,-16%,"-$146,883",,,,,JXN+WI
