,ISIN CODE,NAME,TICKER SYMBOL,trade_count,n_distinct_traders,n_distinct_trade_types,ts_rows,reason_to_exclude
2862,NA,PB BANCORP DEAD - DELETE.02/05/20,PBBI,17,8,5,1509.0,Missing ISIN
662,BMG162491077,BROOKFIELD PR.PARTNERS UNT.,NA,5,4,2,432.0,NA ticker
3681,BMG889121031,TIZIANA LIFE SCIENCES,NA,5,4,2,1509.0,NA ticker
157,CA00971M1068,AKANDA,NA,5,4,2,1391.0,NA ticker
3412,CA83336J2083,SNOW LAKE RESOURCES,NA,5,4,2,704.0,NA ticker
142,CAC009481069,AGRIFORCE GROWING SYSTEMS,NA,5,4,2,1322.0,NA ticker
3919,CAC966571167,VISION MARINE TECHNOLOGIES,NA,5,4,2,1404.0,NA ticker
3845,IL0011327454,VASCULAR BIOGENICS,NA,5,4,2,212.0,NA ticker
3073,JE00BLG2ZQ72,QUOTIENT,NA,5,4,2,1509.0,NA ticker
3229,KY78516C1061,SABAN CAPITAL ACQ.CL.A DEAD - DELIST.01/04/19,NA,5,4,2,1458.0,NA ticker
211,KYG0230C1087,ALPHA STAR ACQUISITION,NA,5,4,2,457.0,NA ticker
286,KYG0441P1046,ANDINA ACQUISITION II DEAD - DELIST.16/03/18,NA,5,4,2,106.0,NA ticker
471,KYG072471025,AVISTA PUBLIC ACQUISITION II A,NA,5,4,2,174.0,NA ticker
146,KYG0R45S1096,AIB ACQUISITION A,NA,5,4,2,1509.0,NA ticker
675,KYG1792A1004,BULLPEN PARLAY ACQUISITION COMPANY A A,NA,5,4,2,298.0,NA ticker
763,KYG195501054,CATALYST PARTNERS ACQUISITION A,NA,5,4,2,1509.0,NA ticker
748,KYG1995D1097,CARTICA ACQUISITION A,NA,5,4,2,1509.0,NA ticker
821,KYG2061X1025,CHAIN BRIDGE I A A,NA,5,4,2,1509.0,NA ticker
1148,KYG2770Y1026,DISRUPTIVE ACQUISITION I A,NA,5,4,2,23.0,NA ticker
1689,KYG415221061,GROWTH FOR GOOD ACQUISITION A,NA,5,4,2,179.0,NA ticker
2003,KYG4923T1058,INVESTCORP EUROPE ACQUISITION I A,NA,5,4,2,1509.0,NA ticker
2113,KYG5260A1040,KEYARCH ACQUISITION,NA,5,4,2,230.0,NA ticker
2170,KYG5338L1086,LAMF GLOBAL VENTURES I A,NA,5,4,2,1509.0,NA ticker
2197,KYG540851089,LEAD EDGE GROWTH OPPORTUNITIES A,NA,5,4,2,952.0,NA ticker
2271,KYG5510R1056,LIV CAPITAL ACQUISITION II A,NA,5,4,2,1509.0,NA ticker
3559,KYG638361033,SWIFTMERGE ACQUISITION A,NA,5,4,2,1509.0,NA ticker
2619,KYG6448C1033,NEWCOURT ACQUISITION A,NA,5,4,2,1056.0,NA ticker
2787,KYG677891262,ORIGO ACQUISITION DEAD - DELIST.16/07/19,NA,5,4,2,1509.0,NA ticker
2810,KYG6855L1095,OXBRIDGE ACQUISITION A,NA,5,4,2,949.0,NA ticker
2888,KYG7007D1025,PERCEPTION CAPITAL II A,NA,5,4,2,783.0,NA ticker
3276,KYG794071053,SCREAMING EAGLE ACQUISITION A,NA,5,4,2,1509.0,NA ticker
3529,KYG8566R1020,SUMMIT HEALTHCARE ACQUISITION A,NA,5,4,2,701.0,NA ticker
3594,KYG8675N1097,TARGET GLOBAL ACQUISITION I A,NA,5,4,2,320.0,NA ticker
3618,KYG872641009,TECNOGLASS,NA,5,4,2,411.0,NA ticker
3620,KYG8739H1065,TEKKORP DIGITAL ACQUISITION A,NA,5,4,2,1509.0,NA ticker
3682,KYG889351121,TKB CRITICAL TECHNOLOGIES 1 A A,NA,5,4,2,1124.0,NA ticker
3673,KYG8T10C1061,TIO TECH A A,NA,5,4,2,127.0,NA ticker
3830,KYG9310A1141,UTSTARCOM HOLDINGS,NA,5,4,2,1298.0,NA ticker
4004,KYG977751034,WORLDWIDE WEBB ACQUISITION A,NA,5,4,2,1509.0,NA ticker
1832,MHY378281114,HUNTER MARITIME ACQUISITION A,NA,5,4,2,704.0,NA ticker
2082,MHY460022038,JX LUXVENTURE,NA,5,4,2,44.0,NA ticker
2711,MHY6430L1039,OCEANPAL,NA,5,4,2,285.0,NA ticker
40,US00372Y1055,ABLYNX SPONSORED ADR 1:1 DEAD - DELIST.13/06/18,NA,5,4,2,1509.0,NA ticker
63,US00444X1019,ACHARI VENTURES HOLDINGS I,NA,5,4,2,1509.0,NA ticker
91,US0070251097,ADITXT,NA,5,4,2,436.0,NA ticker
100,US00777C1045,ADVANCED HUMAN IMAGING ADR 1:7,NA,5,4,2,531.0,NA ticker
121,US00809J1016,AETHERIUM ACQUISITION A,NA,5,4,2,1509.0,NA ticker
118,US00809L1061,AESTHER HEALTHCARE ACQUISITION A,NA,5,4,2,175.0,NA ticker
123,US00835P1057,AEVI GENOMIC MDCIN. DEAD - DELIST.05/02/20,NA,5,4,2,1361.0,NA ticker
254,US02504D1081,AMERICAN CAPITAL SENIOR FLOATING,NA,5,4,2,209.0,NA ticker
353,US04005A1043,ARENA FORTIFY ACQUISITION A,NA,5,4,2,33.0,NA ticker
356,US0401261047,ARGO BLOCKCHAIN ADR 1:10,NA,5,4,2,265.0,NA ticker
378,US04303A1034,ARTEMIS STRATEGIC INVESTMENT A,NA,5,4,2,408.0,NA ticker
423,US04845A1088,ATLANTIC COASTAL ACQUISITION II A,NA,5,4,2,353.0,NA ticker
513,US0666441052,BANNIX ACQUISITION,NA,5,4,2,255.0,NA ticker
516,US06759V1017,BARINGTON HILCO ACQUISITION,NA,5,4,2,235.0,NA ticker
521,US07279B1044,BAYFIRST FINL,NA,5,4,2,593.0,NA ticker
537,US08069M1027,BELONG ACQUISITION A,NA,5,4,2,535.0,NA ticker
576,US09063M2052,BIONOMICS ADS 1:180,NA,5,4,2,90.0,NA ticker
579,US09076G1040,BIOPHYTIS ADR 1:10 (NAS),NA,5,4,2,400.0,NA ticker
654,US11125B1026,BROAD CAPITAL ACQUISITION,NA,5,4,2,1509.0,NA ticker
816,US12521H1077,CF ACQUISITION VII A,NA,5,4,2,1509.0,NA ticker
